precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
8,40045.15,17.2,4.03,4.22,-0.19
0,40745.01,16.5,4.43,5.09,-0.66
0,41003.01,18.1,5.02,5.39,-0.37
0,40685.7,19.1,4.89,5.58,-0.69
1,40793.87,19.2,4.53,5.45,-0.92
9,39244.75,17.7,3.94,3.92,0.02
4,38946.33,15.2,4.18,4.44,-0.26
0,40263.78,17.1,4.41,5.25,-0.84
4,39731.38,16.0,4.24,4.86,-0.62
0,40588.5,14.1,4.53,4.97,-0.44
6,40158.77,17.6,4.14,4.59,-0.45
13,40916.23,17.7,4.49,4.38,0.11
8,40485.25,15.5,4.26,4.16,0.1
12,39866.8,16.3,4.25,4.09,0.16
8,40270.28,17.5,3.94,4.19,-0.25
3,40380.46,16.4,4.67,4.95,-0.28
0,40600.98,15.0,4.47,5.08,-0.61
7,38604.89,18.2,3.99,4.22,-0.23
12,36071.7,16.3,3.52,3.67,-0.15
15,37354.45,17.1,3.54,3.61,-0.07
18,28072.27,16.8,3.15,3.0,0.15
17,36117.88,19.1,3.56,3.44,0.12
14,35228.52,17.6,3.64,3.55,0.09
16,35887.45,20.6,3.69,3.5,0.19
18,27240.97,21.2,2.83,3.04,-0.21
14,13425.74,20.1,2.28,2.3,-0.02
16,29462.36,21.0,2.93,3.32,-0.39
14,36589.53,19.6,3.38,3.53,-0.15
7,37253.87,20.4,3.95,3.96,-0.01
5,38419.51,21.1,3.83,4.32,-0.49
14,39137.8,24.5,3.58,3.88,-0.3
13,19494.94,13.8,2.95,2.63,0.32
8,26215.63,12.6,3.38,3.34,0.04
17,12154.82,14.0,2.13,2.24,-0.11
19,13064.08,10.3,2.25,2.31,-0.06
18,11589.91,14.6,2.34,2.3,0.04
19,10045.19,10.2,2.31,2.31,0.0
21,17777.69,10.0,2.26,2.63,-0.37
3,38106.39,16.3,4.14,4.5,-0.36
13,39835.55,15.4,3.86,4.05,-0.19
12,39134.49,15.7,4.12,3.89,0.23
